,driver_name,rating,year
440,julien canal,S,2017
441,julien canal,S,2018
442,julien canal,S,2020
443,julien canal,S,2022
444,julien piguet,S,2020
445,jorg bergmeister,P,2019
446,jorg bergmeister,P,2018
447,kamui kobayashi,P,2017
448,kamui kobayashi,P,2018
449,kamui kobayashi,P,2019
450,kamui kobayashi,P,2020
451,kamui kobayashi,P,2022
452,kamui kobayashi,P,2021
453,karun chandhok,G,2017
454,katherine legge,G,2021
455,kazuki nakajima,P,2017
456,kazuki nakajima,P,2018
457,kazuki nakajima,P,2019
458,kazuki nakajima,P,2020
459,kazuki nakajima,P,2021
460,kei francesco cozzolino,S,2019
461,kei francesco cozzolino,G,2020
462,keita sawa,S,2017
463,keitha sawa,S,2018
464,kenta yamashita,P,2020
465,kevin estre,P,2018
466,kevin estre,P,2019
467,kevin estre,P,2017
468,kevin estre,P,2020
469,kevin estre,P,2021
470,kevin estre,P,2022
471,khaled al qubaisi,B,2018
472,konstantin tereschenko,S,2019
473,konstantin tereschenko,S,2020
474,konstantins calko,S,2017
475,kyle tilley,S,2020
476,larry ten voorde,S,2020
477,laurens vanthoor,P,2018
478,laurens vanthoor,P,2019
479,laurens vanthoor,P,2020
480,laurens vanthoor,P,2022
481,laurents horr,G,2022
482,liam griffin,B,2018
483,lilou wadoux,S,2022
484,loic duval,P,2021
485,lorenzo colombo,S,2022
486,louis deletraz,G,2022
487,louis deletraz,G,2020
488,louis prette,S,2019
489,louis prette,S,2022
490,loic duval,P,2018
491,loic duval,P,2019
492,luca stolz,S,2018
493,lucas di grassi,P,2017
494,lucas legeret,S,2020
495,luis felipe derani,G,2018
496,luis felipe derani,G,2017
497,luis perez companc,B,2019
498,luiz felipe nasr,P,2018
499,leo roussel,G,2018
500,manuela gostner,B,2019
501,manuela gostner,B,2020
502,manuela gostner,B,2021
503,marcel fassler,P,2017
504,marcel fassler,P,2018
505,marcel fassler,P,2019
506,marco cioci,G,2017
507,marco cioci,G,2018
508,marco seefried,S,2021
509,marco sorensen,P,2022
510,marco sorensen,P,2019
511,marco sorensen,G,2018
512,marco sorensen,G,2017
513,marco sorensen,P,2020
514,marcos gomes,S,2020
515,marcos gomes,S,2021
516,mark kvamme,B,2022
517,mark patterson,B,2018
518,mark patterson,B,2017
519,mark patterson,B,2020
520,martin rump,S,2022
521,martin tomczyk,P,2018
522,martin tomczyk,P,2019
523,marvin dienst,S,2017
524,marvin klein,S,2022
525,matevos isaakyan,G,2018
526,matevos isakkyan,G,2020
527,mathias beche,P,2017
528,mathias beche,P,2018
529,mathias beche,G,2019
530,mathias beche,G,2022
531,mathias lauda,S,2018
532,mathias lauda,S,2017
533,mathias lauda,S,2019
534,mathieu jaminet,G,2019
535,matt bell,S,2022
536,matt campbell,G,2019
537,matt campbell,G,2018
538,matt campbell,G,2020
539,matt campbell,G,2021
540,matt campbell,G,2022
541,matteo cairoli,G,2018
542,matteo cairoli,G,2017
543,matteo cairoli,G,2019
544,matteo cressoni,S,2019
545,matteo cairoli,G,2020
546,matteo cairoli,G,2022
547,matteo cairoli,G,2021
548,matteo cressoni,S,2020
549,matteo cressoni,S,2022
550,matteo cressoni,S,2021
551,matthew griffin,G,2018
552,matthew griffin,G,2019
553,matthew griffin,G,2017
554,matthew griffin,G,2020
555,matthew griffin,G,2022
556,matthew mcmurry,S,2017
557,matthew mcmurry,S,2020
558,matthew rao,S,2017
559,matthieu lahaye,S,2022
560,matthieu vaxiviere,G,2019
561,matthieu vaxiviere,G,2017
562,matthieu vaxiviere,G,2018
563,matthieu vaxiviere,G,2020
564,matthieu vaxiviere,G,2021
565,matthieu vaxiviere,G,2022
566,max van splunteren,S,2020
567,maxime martin,P,2019
568,maxime martin,P,2018
569,maxime martin,P,2020
570,maxwell root,S,2020
571,maxwell root,S,2022
572,memo rojas,G,2017
573,memo rojas,G,2018
574,memo rojas,G,2019
575,memo rojas,G,2020
576,michael christensen,P,2018
577,michael christensen,P,2017
578,michael christensen,P,2019
579,michael christensen,P,2020
580,michael christensen,P,2022
581,michael fassbender,B,2022
582,michael hedlund,B,2017
583,michael jensen,B,2022
584,michael simpson,S,2018
585,michael wainwright,B,2018
586,michael wainwright,B,2019
587,michael wainwright,B,2017
